2022-05-18 10:05:570 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 10:05:566 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 10:05:49 INFO  HomePage :27 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (dcce78571a43c6ba05663b17df3ab3f0)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 10:05:837 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 10:05:468 INFO  HomePage :27 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (c0acd2cb60aa065757acd29313195a3b)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 10:05:855 INFO  HomePage :24 - Verify New & Used Car Search - carsguide Text :[[ChromeDriver: chrome on WINDOWS (c0acd2cb60aa065757acd29313195a3b)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-18 11:05:236 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 11:05:550 INFO  HomePage :27 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (1a104029273232e3a47f54b2d2f5d371)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 11:05:885 INFO  HomePage :39 - Verify New & Used Car Search - carsguide Text :[[ChromeDriver: chrome on WINDOWS (1a104029273232e3a47f54b2d2f5d371)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-18 11:05:593 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 11:05:163 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 11:05:412 INFO  HomePage :27 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (082c60f51d7a1b3fc6a429f2f214f19d)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 11:05:824 INFO  HomePage :39 - Verify New & Used Car Search - carsguide Text :[[ChromeDriver: chrome on WINDOWS (082c60f51d7a1b3fc6a429f2f214f19d)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-18 11:05:984 INFO  HomePage :45 - select make : Jeep
2022-05-18 11:05:269 INFO  HomePage :50 - select model : Cherokee
2022-05-18 11:05:568 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 11:05:395 INFO  HomePage :27 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (6c24fe01509ea4f514b928b325b89104)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 11:05:275 INFO  HomePage :39 - Verify New & Used Car Search - carsguide Text :[[ChromeDriver: chrome on WINDOWS (6c24fe01509ea4f514b928b325b89104)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-18 11:05:530 INFO  HomePage :45 - select make : Jeep
2022-05-18 11:05:649 INFO  HomePage :50 - select model : Cherokee
2022-05-18 11:05:758 INFO  HomePage :56 - select model : ACT-All
2022-05-18 11:05:848 INFO  HomePage :62 - select model : $20,000
2022-05-18 11:05:971 INFO  HomePage :67 - select model : [[ChromeDriver: chrome on WINDOWS (6c24fe01509ea4f514b928b325b89104)] -> xpath: //input[@id='search-submit']]
2022-05-18 11:05:894 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 11:05:383 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 11:05:489 INFO  HomePage :27 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (7f5ece7e44aa08b1bbb0e43afe9035ce)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 11:05:620 INFO  HomePage :43 - Verify New & Used Car Search - carsguide Text :[[ChromeDriver: chrome on WINDOWS (7f5ece7e44aa08b1bbb0e43afe9035ce)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-18 11:05:725 INFO  HomePage :49 - select make : Jeep
2022-05-18 11:05:840 INFO  HomePage :55 - select model : Cherokee
2022-05-18 11:05:905 INFO  HomePage :61 - select model : ACT-All
2022-05-18 11:05:973 INFO  HomePage :66 - select model : $20,000
2022-05-18 11:05:60 INFO  HomePage :71 - select model : [[ChromeDriver: chrome on WINDOWS (7f5ece7e44aa08b1bbb0e43afe9035ce)] -> xpath: //input[@id='search-submit']]
2022-05-18 11:05:468 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 11:05:653 INFO  HomePage :27 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (5c2b7b39c6a691d152082901914fcc01)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 11:05:437 INFO  HomePage :43 - Verify New & Used Car Search - carsguide Text :[[ChromeDriver: chrome on WINDOWS (5c2b7b39c6a691d152082901914fcc01)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-18 11:05:610 INFO  HomePage :49 - select make : Jeep
2022-05-18 11:05:737 INFO  HomePage :55 - select model : Cherokee
2022-05-18 11:05:855 INFO  HomePage :61 - select model : ACT-All
2022-05-18 11:05:136 INFO  HomePage :66 - select model : $20,000
2022-05-18 11:05:973 INFO  HomePage :71 - select model : [[ChromeDriver: chrome on WINDOWS (5c2b7b39c6a691d152082901914fcc01)] -> xpath: //input[@id='search-submit']]
2022-05-18 11:05:180 INFO  HomePage :77 - verifying search results : [[ChromeDriver: chrome on WINDOWS (5c2b7b39c6a691d152082901914fcc01)] -> css selector: .listing-search-title]
2022-05-18 11:05:372 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 11:05:798 INFO  HomePage :27 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (c551c99b6e6086d4bbeb05ccf11251eb)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 11:05:478 INFO  HomePage :43 - Verify New & Used Car Search - carsguide Text :[[ChromeDriver: chrome on WINDOWS (c551c99b6e6086d4bbeb05ccf11251eb)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-18 11:05:550 INFO  HomePage :49 - select make : Jeep
2022-05-18 11:05:599 INFO  HomePage :55 - select model : Cherokee
2022-05-18 11:05:655 INFO  HomePage :61 - select model : ACT-All
2022-05-18 11:05:741 INFO  HomePage :66 - select model : $20,000
2022-05-18 11:05:853 INFO  HomePage :71 - select model : [[ChromeDriver: chrome on WINDOWS (c551c99b6e6086d4bbeb05ccf11251eb)] -> xpath: //input[@id='search-submit']]
2022-05-18 11:05:868 INFO  HomePage :77 - verifying search results : [[ChromeDriver: chrome on WINDOWS (c551c99b6e6086d4bbeb05ccf11251eb)] -> css selector: .listing-search-title]
2022-05-18 12:05:986 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 12:05:145 INFO  HomePage :27 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (c38b79eb7686160f9815613d3cfbaa8a)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 12:05:269 INFO  HomePage :43 - Verify New & Used Car Search - carsguide Text :[[ChromeDriver: chrome on WINDOWS (c38b79eb7686160f9815613d3cfbaa8a)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-18 12:05:443 INFO  HomePage :49 - select make : Jeep
2022-05-18 12:05:526 INFO  HomePage :55 - select model : Cherokee
2022-05-18 12:05:638 INFO  HomePage :61 - select model : ACT-All
2022-05-18 12:05:731 INFO  HomePage :66 - select model : $20,000
2022-05-18 12:05:941 INFO  HomePage :71 - select model : [[ChromeDriver: chrome on WINDOWS (c38b79eb7686160f9815613d3cfbaa8a)] -> xpath: //input[@id='search-submit']]
2022-05-18 12:05:145 INFO  HomePage :77 - verifying search results : [[ChromeDriver: chrome on WINDOWS (c38b79eb7686160f9815613d3cfbaa8a)] -> css selector: .listing-search-title]
2022-05-18 12:05:462 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 12:05:277 INFO  HomePage :31 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (c4810654d9e02806a2fb20d810390e5f)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 12:05:324 INFO  HomePage :43 - Verify New & Used Car Search - carsguide Text :[[ChromeDriver: chrome on WINDOWS (c4810654d9e02806a2fb20d810390e5f)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-18 12:05:408 INFO  HomePage :49 - select make : Jeep
2022-05-18 12:05:489 INFO  HomePage :55 - select model : Cherokee
2022-05-18 12:05:563 INFO  HomePage :61 - select model : ACT-All
2022-05-18 12:05:645 INFO  HomePage :66 - select model : $20,000
2022-05-18 12:05:735 INFO  HomePage :71 - select model : [[ChromeDriver: chrome on WINDOWS (c4810654d9e02806a2fb20d810390e5f)] -> xpath: //input[@id='search-submit']]
